economy,year,anomaly_score,anomaly_score_negated,predicted_anomaly,crisis_label
KOR,2004,0.04619187007943265,-0.04619187007943265,0,0
KOR,2005,0.05460359653762081,-0.05460359653762081,0,0
KOR,2006,0.04563599698025145,-0.04563599698025145,0,0
KOR,2007,0.040076052628823244,-0.040076052628823244,0,0
KOR,2008,0.038443679322375635,-0.038443679322375635,0,0
KOR,2009,0.04376458797376109,-0.04376458797376109,0,0
KOR,2010,0.01861665610906854,-0.01861665610906854,0,0
KOR,2011,0.010225070717685136,-0.010225070717685136,0,0
KOR,2012,0.016448271597384656,-0.016448271597384656,0,0
KOR,2013,0.014876375484098758,-0.014876375484098758,0,0
KOR,2014,0.027421885153381398,-0.027421885153381398,0,0
KOR,2015,0.02851738623854233,-0.02851738623854233,0,0
KOR,2016,0.034568794489504395,-0.034568794489504395,0,0
KOR,2017,0.026593866578394243,-0.026593866578394243,0,0
KOR,2018,0.030190358985868526,-0.030190358985868526,0,0
KOR,2019,0.04346543366835193,-0.04346543366835193,0,0
KOR,2020,0.02229532054551847,-0.02229532054551847,0,0
KOR,2021,0.02711442143231607,-0.02711442143231607,0,0
KOR,2022,0.02929650294181052,-0.02929650294181052,0,0
KOR,2023,0.03571034359485825,-0.03571034359485825,0,0
KOR,2024,0.02867014267678475,-0.02867014267678475,0,0
LKA,1990,0.046157493100314695,-0.046157493100314695,0,1
LKA,1991,0.055019511829757894,-0.055019511829757894,0,1
LKA,1992,0.07037462336026945,-0.07037462336026945,0,1
LKA,1993,0.05622716271833372,-0.05622716271833372,0,1
LKA,1994,0.049943603635266676,-0.049943603635266676,0,1
LKA,1995,0.06314510727120798,-0.06314510727120798,0,0
LKA,1996,0.0738311928532378,-0.0738311928532378,0,0
LKA,1997,0.0741911188486527,-0.0741911188486527,0,0
LKA,1998,0.09070234339136185,-0.09070234339136185,0,0
LKA,1999,0.08358009042209613,-0.08358009042209613,0,0
LKA,2000,0.06473296731475986,-0.06473296731475986,0,0
LKA,2001,0.06987631058726451,-0.06987631058726451,0,0
LKA,2002,0.08543875376783516,-0.08543875376783516,0,0
LKA,2003,0.08183680811625732,-0.08183680811625732,0,0
LKA,2004,0.07731564535123975,-0.07731564535123975,0,0
LKA,2005,0.07651569226085903,-0.07651569226085903,0,0
LKA,2006,0.058985718319888025,-0.058985718319888025,0,0
LKA,2007,0.0713902894886903,-0.0713902894886903,0,0
LKA,2008,0.051231517516088954,-0.051231517516088954,0,1
LKA,2009,0.10306398763264935,-0.10306398763264935,0,0
LKA,2010,0.07583271450676377,-0.07583271450676377,0,0
LKA,2011,0.05686074137651714,-0.05686074137651714,0,0
LKA,2012,0.054026938547003744,-0.054026938547003744,0,0
LKA,2013,0.07027474406048406,-0.07027474406048406,0,0
LKA,2014,0.07270354657562417,-0.07270354657562417,0,0
LKA,2015,0.07346244804596919,-0.07346244804596919,0,0
LKA,2016,0.06446474345761555,-0.06446474345761555,0,0
LKA,2017,0.04124118024808149,-0.04124118024808149,0,0
LKA,2018,0.05490586206614595,-0.05490586206614595,0,0
LKA,2019,0.061586031914391826,-0.061586031914391826,0,0
LKA,2020,0.01984276731548007,-0.01984276731548007,0,1
LKA,2021,0.05386224476752022,-0.05386224476752022,0,0
LKA,2022,-0.01167515470944469,0.01167515470944469,1,1
LKA,2023,0.059062163403184764,-0.059062163403184764,0,1
LKA,2024,0.08363395128108364,-0.08363395128108364,0,0
MEX,1990,0.086178255065331,-0.086178255065331,0,0
MEX,1991,0.08123984190378675,-0.08123984190378675,0,0
MEX,1992,0.07337098138646503,-0.07337098138646503,0,1
MEX,1993,0.07055522816571624,-0.07055522816571624,0,0
MEX,1994,0.08009474644251502,-0.08009474644251502,0,1
MEX,1995,0.01112865396904178,-0.01112865396904178,0,1
MEX,1996,0.07817883969501604,-0.07817883969501604,0,1
MEX,1997,0.07580851845922465,-0.07580851845922465,0,0
MEX,1998,0.08558736622907281,-0.08558736622907281,0,0
MEX,1999,0.08447063923032799,-0.08447063923032799,0,0
MEX,2000,0.0917511997233964,-0.0917511997233964,0,0
MEX,2001,0.07815372455305564,-0.07815372455305564,0,0
MEX,2002,0.08521438525696767,-0.08521438525696767,0,0
MEX,2003,0.09822652573384894,-0.09822652573384894,0,0
MEX,2004,0.10187627885092526,-0.10187627885092526,0,0
MEX,2005,0.10136119280348754,-0.10136119280348754,0,0
MEX,2006,0.09778259987861565,-0.09778259987861565,0,0
MEX,2007,0.0993046711226045,-0.0993046711226045,0,0
MEX,2008,0.09587954756122441,-0.09587954756122441,0,0
MEX,2009,0.03050050054857667,-0.03050050054857667,0,1
MEX,2010,0.10059905580393386,-0.10059905580393386,0,0
MEX,2011,0.09887754511406344,-0.09887754511406344,0,0
MEX,2012,0.0958791476274613,-0.0958791476274613,0,0
MEX,2013,0.0827293750517174,-0.0827293750517174,0,0
MEX,2014,0.08823491822796692,-0.08823491822796692,0,0
MEX,2015,0.08799958636758543,-0.08799958636758543,0,0
MEX,2016,0.08233749940747626,-0.08233749940747626,0,0
MEX,2017,0.0807148560635747,-0.0807148560635747,0,0
MEX,2018,0.07523239566590345,-0.07523239566590345,0,0
MEX,2019,0.06775927791155628,-0.06775927791155628,0,0
MEX,2020,-0.012684547031318882,0.012684547031318882,1,1
MEX,2021,0.06349837317352264,-0.06349837317352264,0,0
MEX,2022,0.07089117274000117,-0.07089117274000117,0,0
MEX,2023,0.07772135037279931,-0.07772135037279931,0,0
