economy,year,anomaly_score,predicted_anomaly
GRC,2014,1.0826310346780328,0
GRC,2015,1.247833575734902,0
GRC,2016,1.0979063205287918,0
GRC,2017,1.1063658823437412,0
GRC,2018,1.2752505412122186,0
GRC,2019,1.3788253611393082,0
GRC,2020,1.5280935760451266,1
GRC,2021,1.3495693603400403,0
GRC,2022,1.3714845074925777,0
GRC,2023,1.3023001439780408,0
GRC,2024,1.2333996766652364,0
HUN,1990,1.1439245857462734,0
HUN,1991,1.3736370751475748,0
HUN,1992,1.1947663237708415,0
HUN,1993,1.2515580718475618,0
HUN,1994,1.0880911726941043,0
HUN,1995,1.3331235118432474,0
HUN,1996,1.197493982142946,0
HUN,1997,1.2881456857711817,0
HUN,1998,1.1870188101349017,0
HUN,1999,1.16463172045612,0
HUN,2000,1.253153673173543,0
HUN,2001,1.1114115840556449,0
HUN,2002,1.1282813982031674,0
HUN,2003,1.1864469276410785,0
HUN,2004,1.1794807611277833,0
HUN,2005,1.2753021707435763,0
HUN,2006,1.2064238478449705,0
HUN,2007,1.650604135775131,1
HUN,2008,1.5293543100851679,1
HUN,2009,1.4773385760626558,0
HUN,2010,1.9718986936956944,1
HUN,2011,1.1875209247286178,0
HUN,2012,1.3172877651598358,0
HUN,2013,1.3157247654622106,0
HUN,2014,1.1301280049623963,0
HUN,2015,1.3676436291866492,0
HUN,2016,1.6736051453989376,1
HUN,2017,1.5588653572017968,1
HUN,2018,3.4847806545793567,1
HUN,2019,1.8710432076623535,1
HUN,2020,3.7788721945645647,1
HUN,2021,1.2518461239387697,0
HUN,2022,1.5401099684648165,1
HUN,2023,3.0061894736011734,1
HUN,2024,2.604349621071412,1
IDN,1990,1.43782029398921,0
IDN,1991,1.0385251445878085,0
IDN,1992,1.0223790999989795,0
IDN,1993,1.0259501511497593,0
IDN,1994,1.045695764591533,0
IDN,1995,1.0594766756684557,0
IDN,1996,1.0688741744283965,0
IDN,1997,1.3965730508433365,0
IDN,1998,2.6279126628280043,1
IDN,1999,1.7136611698398891,1
IDN,2000,1.375680784122171,0
IDN,2001,1.4750725360716646,0
IDN,2002,1.3879824485488692,0
IDN,2003,1.2178458844645719,0
IDN,2004,1.1479251364603242,0
IDN,2005,1.0899854509281521,0
IDN,2006,1.1638899423429965,0
IDN,2007,1.0797906652543245,0
IDN,2008,1.0602025609128618,0
IDN,2009,1.2610550695148806,0
IDN,2010,1.424256959439036,0
IDN,2011,1.1644674189020534,0
IDN,2012,1.0419955927904392,0
IDN,2013,1.036982251974417,0
IDN,2014,1.054612727424127,0
IDN,2015,1.0505867174608758,0
IDN,2016,1.0039954520603098,0
IDN,2017,0.9887938949230778,0
IDN,2018,1.0064231211071797,0
IDN,2019,0.9927032292647509,0
IDN,2020,1.4096693103035538,0
IDN,2021,1.0363186258131671,0
IDN,2022,1.0377439387303413,0
IDN,2023,0.9984042099880637,0
IDN,2024,1.0002952853949494,0
IND,1990,1.2206563650093532,0
IND,1991,1.184015095266569,0
IND,1992,1.1307460078289695,0
IND,1993,1.1324868732350255,0
IND,1994,1.0895045752003556,0
IND,1995,1.098865041772219,0
IND,1996,1.0911410321089694,0
IND,1997,1.0805221500468571,0
IND,1998,1.1252727647168679,0
