economy,year,lof_score,predicted_anomaly,crisis_label
IDN,2005,1.000870031921457,0,1
IDN,2006,1.000870031921457,0,1
IDN,2007,1.000870031921457,0,1
IDN,2008,1.019419108010807,0,0
IDN,2009,1.0195697578104999,0,0
IDN,2010,0.9968920899274503,0,0
IDN,2011,1.0120559053939318,0,0
IDN,2012,1.00011098337343,0,0
IDN,2013,0.9421903676411632,0,0
IDN,2014,0.9712432960509858,0,0
IDN,2015,0.9964573622532823,0,0
IDN,2016,0.997870226605049,0,0
IDN,2017,1.0085496199310047,0,0
IDN,2018,1.004151187759669,0,0
IDN,2019,1.0032637431266302,0,0
IDN,2020,1.715881565994101,1,1
IDN,2021,0.9934687417558024,0,0
IDN,2022,1.0213250946156154,0,0
IDN,2023,1.014965276338661,0,0
IDN,2024,1.015117899273782,0,0
IND,1990,1.026299235418985,0,0
IND,1991,1.250393193116016,1,1
IND,1992,1.0361306542513233,0,0
IND,1993,1.0116476573096016,0,0
IND,1994,1.0226340227096613,0,0
IND,1995,1.04798940305125,0,0
IND,1996,1.1526289037569224,0,0
IND,1997,1.0294158104082922,0,0
IND,1998,1.0170729251013464,0,1
IND,1999,1.056207081408966,0,0
IND,2000,1.0307390640600373,0,0
IND,2001,1.0253792754861724,0,0
IND,2002,1.1001041386930333,0,0
IND,2003,1.0158438943033221,0,0
IND,2004,0.9538665450537431,0,0
IND,2005,0.9848229243226874,0,0
IND,2006,0.9956278904867881,0,0
IND,2007,1.0523931032502738,0,0
IND,2008,1.1174856155804345,0,0
IND,2009,0.9908462638635326,0,0
IND,2010,1.012702724370347,0,0
IND,2011,1.0269454995947638,0,0
IND,2012,1.010251708498527,0,1
IND,2013,0.9555094263394578,0,0
IND,2014,0.9797924330825178,0,0
IND,2015,1.0071419127475285,0,0
IND,2016,1.0114865270888866,0,0
IND,2017,0.9814782093141666,0,0
IND,2018,0.9778167266134494,0,0
IND,2019,1.0634265009967372,0,0
IND,2020,1.2066674913993618,1,1
IND,2021,1.11829557939306,0,0
IND,2022,1.0439138993124035,0,0
IND,2023,1.1748434532909182,0,0
IND,2024,1.083412250695894,0,0
IRL,1990,1.3798313202596444,1,1
IRL,1991,1.6161213318736265,1,1
IRL,1992,1.5758464050070664,1,0
IRL,1993,1.642062643113814,1,0
IRL,1994,1.5189967756891074,1,0
IRL,1995,1.3203939671579676,1,0
IRL,1996,1.2288317242884124,1,0
IRL,1997,1.271233924151713,1,0
IRL,1998,1.0869845611015427,0,0
IRL,1999,1.2224424087177659,1,0
IRL,2000,1.2144195411312637,1,0
IRL,2001,1.3615982846963983,1,0
IRL,2002,1.1186890762743906,0,0
IRL,2003,1.310579372541857,1,0
IRL,2004,1.383953733460061,1,0
IRL,2005,1.0867533179866637,0,0
IRL,2006,1.1596946212877302,0,0
IRL,2007,1.0567368116382938,0,0
IRL,2008,1.2893520298648575,1,1
IRL,2009,1.3967942819409234,1,1
IRL,2010,1.422629552315494,1,0
IRL,2011,1.5969764651132743,1,0
IRL,2012,1.388549684614927,1,0
IRL,2013,1.273893806537204,1,0
IRL,2014,1.4394995958813506,1,0
IRL,2015,1.718879898796624,1,0
IRL,2016,1.5885397520848252,1,0
IRL,2017,1.244974366682403,1,0
IRL,2018,1.277329018548084,1,0
IRL,2019,1.261215653018116,1,1
IRL,2020,1.182601940025339,0,0
IRL,2021,1.4908548294440394,1,0
IRL,2022,1.1168630248464884,0,1
IRL,2023,1.6581735166365852,1,1
IRL,2024,1.115135294308789,0,0
ITA,1990,1.0075515651090738,0,0
ITA,1991,1.0050459522398012,0,0
ITA,1992,1.0970797566399852,0,0
ITA,1993,1.1338315468159352,0,0
ITA,1994,1.0267254840246263,0,0
ITA,1995,1.0547322561859527,0,0
ITA,1996,1.077801669042499,0,0
ITA,1997,1.0801666652776905,0,0
ITA,1998,1.0829367634293028,0,0
ITA,1999,0.9933052617776905,0,0
ITA,2000,1.002854243477662,0,0
ITA,2001,0.9620588149800289,0,0
ITA,2002,0.9603814860299378,0,0
ITA,2003,0.9691368665386566,0,0
ITA,2004,0.9852145911055802,0,0
ITA,2005,1.002539082741318,0,0
ITA,2006,0.9924148470556569,0,0
ITA,2007,0.9745028829554329,0,0
ITA,2008,1.0990003976101073,0,0
ITA,2009,1.0025055054874656,0,1
ITA,2010,1.032077857551649,0,0
ITA,2011,0.9923053893274633,0,0
ITA,2012,1.0264352262028449,0,1
ITA,2013,1.1105356655783734,0,0
ITA,2014,1.0259304630431663,0,1
ITA,2015,1.0370857604873178,0,0
ITA,2016,1.0001838969711672,0,0
